,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count
"('AS14.02', datetime.date(2014, 4, 24))",1068.0,158,-63.0,158,45.0,158,185.94080080468612,687,175494.4230003357,4838,451.0,451,81.0,81,65558.48699999967,4075,76746.15100000004,2449,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,15018.425999999976,561,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 4, 25))",1077.0,159,-64.0,159,46.0,159,185.94080080468612,687,175494.4230003357,4838,451.0,451,81.0,81,65558.48699999967,4075,76746.15100000004,2449,18021.631,418,0.0,0,0.0,0,0.0,0,3780.1649999999986,213,15018.425999999976,561,6410.049000000004,303,0.0,0,160.68200000000002,28,0.0,0
"('AS14.02', datetime.date(2014, 3, 14))",0.0,0,0.0,0,0.0,0,0.0,0,1605.1650004386906,73,151.0,151,40.0,40,157.95299999999997,21,1025.0309999999997,62,160.458,10,0.0,0,0.0,0,0.0,0,223.08700000000002,9,28.631,5,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 15))",0.0,0,0.0,0,0.0,0,0.0,0,6914.420001506805,255,158.0,158,40.0,40,2579.062,184,3223.734000000001,175,512.1519999999999,20,0.0,0,0.0,0,0.0,0,223.08700000000002,9,28.631,5,125.70000000000002,8,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 17))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,4,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 18))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,7,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 19))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13.0,13,6.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 20))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,15,6.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 21))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,21.0,21,9.0,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 22))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,25.0,25,14.0,14,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 23))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,29.0,29,15.0,15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 24))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,36.0,36,17.0,17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 25))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,45,19.0,19,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 26))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,48.0,48,19.0,19,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 27))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,57.0,57,19.0,19,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 2, 28))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,66.0,66,22.0,22,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 1))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,69.0,69,24.0,24,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 2))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,70.0,70,24.0,24,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 3))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,74.0,74,24.0,24,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 4))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.0,83,25.0,25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 5))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,86.0,86,25.0,25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 6))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,98.0,98,26.0,26,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 7))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,103.0,103,29.0,29,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 8))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,114.0,114,30.0,30,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 9))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,118.0,118,30.0,30,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 10))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,129.0,129,34.0,34,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 11))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,135.0,135,38.0,38,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.02', datetime.date(2014, 3, 12))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,142.0,142,39.0,39,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
