,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count
"('AS14.29', datetime.date(2014, 4, 9))",280.0,36,-9.0,37,26.0,37,19.4649967339091,159,58654.83599996566,743,41.0,41,87.0,87,2475.0260000000003,158,18395.931,512,923.031,18,0.0,0,0.0,0,5831.715000000002,853,1049.8180000000002,48,32917.69099999997,371,1368.6000000000004,20,0.0,0,31.199000000000005,8,0.0,0
"('AS14.29', datetime.date(2014, 4, 10))",323.0,41,-7.0,42,33.0,42,22.482585090401287,177,65965.35699748991,826,42.0,42,90.0,90,2892.9480000000003,188,20374.790000000008,568,972.232,20,0.0,0,0.0,0,6502.830000000004,966,1763.097,57,36397.63499999999,409,1368.6000000000004,20,0.0,0,31.199000000000005,8,0.0,0
"('AS14.29', datetime.date(2014, 4, 11))",359.0,46,-6.0,47,36.0,47,22.93806272435325,201,72852.4889974594,898,42.0,42,90.0,90,2919.047,193,22884.249000000003,612,1072.4699999999998,24,27.183,1,0.0,0,7490.935000000005,1045,1819.3860000000002,62,39570.65499999997,459,1368.6000000000004,20,0.0,0,35.24000000000001,11,0.0,0
"('AS14.29', datetime.date(2014, 4, 12))",392.0,50,-2.0,51,39.0,51,25.709341703767542,225,75518.14899659155,960,42.0,42,91.0,91,3002.0789999999993,205,24721.781999999996,660,1169.2559999999999,27,27.183,1,0.0,0,7782.960000000006,1118,1885.8790000000001,68,39720.63499999997,463,1506.8670000000004,25,0.0,0,35.24000000000001,11,0.0,0
"('AS14.29', datetime.date(2014, 4, 13))",433.0,55,-2.0,56,42.0,56,27.509200533024114,249,86693.67299509047,1048,42.0,42,91.0,91,3384.225999999999,217,27168.119,745,1169.2559999999999,27,27.183,1,0.0,0,8342.282000000001,1240,1950.446,76,43575.732999999986,501,1684.6890000000003,29,0.0,0,35.24000000000001,11,0.0,0
"('AS14.29', datetime.date(2014, 4, 14))",473.0,60,-6.0,61,47.0,61,30.896993036825762,273,94536.47899627684,1141,42.0,42,91.0,91,3731.171999999999,231,29201.218999999997,799,1260.725,29,27.183,1,0.0,0,9119.413999999999,1352,2127.0060000000003,83,48876.44899999999,557,1684.6890000000003,29,0.0,0,35.24000000000001,11,0.0,0
"('AS14.29', datetime.date(2014, 4, 15))",506.0,64,-8.0,65,51.0,65,34.25250688652028,290,103742.36999249457,1278,42.0,42,92.0,92,3840.334999999998,241,33531.44299999998,908,1303.8849999999998,32,27.183,1,0.0,0,9937.555000000006,1499,2203.4320000000007,89,52779.52400000001,624,1684.6890000000003,29,0.0,0,35.24000000000001,11,0.0,0
"('AS14.29', datetime.date(2014, 4, 16))",545.0,69,-8.0,70,56.0,70,35.01785653244541,314,115654.09399175642,1400,43.0,43,97.0,97,4176.896999999999,275,36644.09799999996,986,3466.847999999999,45,28.187,2,0.0,0,10570.457000000002,1627,2333.358,97,57948.621999999996,706,2095.4200000000005,38,0.0,0,35.24000000000001,11,0.0,0
"('AS14.29', datetime.date(2014, 4, 17))",583.0,74,-4.0,75,60.0,75,37.425118043220316,337,121979.11499190329,1511,45.0,45,101.0,101,4376.621999999999,298,45496.641999999956,1091,3489.157999999999,46,28.187,2,0.0,0,11396.31500000001,1781,2397.6470000000004,102,60603.587,761,2164.8340000000003,40,0.0,0,38.25800000000002,14,0.0,0
"('AS14.29', datetime.date(2014, 4, 18))",615.0,78,-5.0,79,61.0,79,40.98507196326037,360,130984.35599231719,1601,46.0,46,102.0,102,4907.758999999997,335,48342.199999999946,1153,3977.049999999999,47,28.187,2,0.0,0,12791.088000000003,1885,2500.165000000001,108,65237.56900000002,813,2229.7360000000003,41,0.0,0,42.28900000000002,17,0.0,0
"('AS14.29', datetime.date(2014, 4, 19))",650.0,83,-8.0,84,62.0,84,42.685071963260356,384,138490.3919918537,1670,47.0,47,105.0,105,5267.431999999995,363,50492.96499999994,1213,3977.049999999999,47,28.187,2,0.0,0,46074.10900000001,1983,2594.589000000001,113,69532.21900000003,865,2260.0160000000005,42,0.0,0,42.28900000000002,17,0.0,0
"('AS14.29', datetime.date(2014, 4, 20))",680.0,87,-10.0,88,65.0,88,42.88708345751322,408,141575.1029920578,1704,47.0,47,105.0,105,5338.742999999994,373,51507.80099999995,1232,3977.049999999999,47,28.187,2,0.0,0,46286.11799999997,2027,2683.0540000000005,118,71140.349,903,2260.0160000000005,42,0.0,0,42.28900000000002,17,0.0,0
"('AS14.29', datetime.date(2014, 4, 21))",716.0,92,-10.0,93,67.0,93,45.54541679084656,432,145322.12199234962,1747,47.0,47,105.0,105,5372.7679999999955,385,52742.39399999993,1271,3977.049999999999,47,28.187,2,0.0,0,46614.12299999998,2078,2870.0730000000003,126,73192.50499999996,927,2260.0160000000005,42,0.0,0,42.28900000000002,17,0.0,0
"('AS14.29', datetime.date(2014, 4, 22))",748.0,97,-11.0,98,67.0,98,49.54060134973621,456,158269.9229915142,1910,50.0,50,116.0,116,7039.941999999995,447,57600.6459999999,1391,4133.939999999999,49,28.187,2,0.0,0,48356.68399999993,2267,2917.6110000000003,131,77114.48199999999,1004,2936.112,61,0.0,0,50.376000000000026,23,0.0,0
"('AS14.29', datetime.date(2014, 4, 23))",786.0,102,-8.0,103,70.0,103,51.81607309137183,480,170292.90299272537,2043,54.0,54,117.0,117,7404.547999999994,497,60934.09099999991,1482,4531.693999999999,50,28.187,2,0.0,0,49956.88399999994,2436,2955.813,136,81197.17999999998,1044,3355.2650000000003,76,0.0,0,77.43800000000003,24,0.0,0
"('AS14.29', datetime.date(2014, 4, 24))",825.0,107,-7.0,108,75.0,108,56.294788723229736,504,179893.40899538994,2225,54.0,54,120.0,120,7822.129999999993,548,64652.99999999992,1598,5620.662999999999,51,28.187,2,0.0,0,51019.95599999993,2652,3004.03,141,84367.22499999998,1106,3909.708,89,0.0,0,77.43800000000003,24,0.0,0
"('AS14.29', datetime.date(2014, 4, 25))",855.0,111,-7.0,112,78.0,112,59.101625299831866,521,183813.2229962349,2309,54.0,54,121.0,121,8387.203999999992,564,67021.22099999987,1658,5620.662999999999,51,28.187,2,0.0,0,51680.7629999999,2737,3050.385,146,84496.62899999999,1112,4131.143,94,0.0,0,80.49800000000003,27,0.0,0
"('AS14.29', datetime.date(2014, 4, 26))",879.0,115,-7.0,116,78.0,116,65.56566752413099,545,194292.55099892616,2476,56.0,56,125.0,125,8948.087999999996,601,70465.10899999982,1779,5620.662999999999,51,28.187,2,0.0,0,52715.03199999988,2878,3205.873000000001,154,89705.93000000008,1166,4178.325,95,0.0,0,80.49800000000003,27,0.0,0
"('AS14.29', datetime.date(2014, 4, 27))",905.0,119,-10.0,120,78.0,120,66.64316188240274,569,201370.94099903107,2539,56.0,56,125.0,125,10252.422999999999,638,71356.05599999978,1817,5938.564999999999,57,28.187,2,0.0,0,53232.12499999988,2958,3259.126000000001,159,94661.85700000008,1198,4178.325,95,0.0,0,80.49800000000003,27,0.0,0
"('AS14.29', datetime.date(2014, 4, 28))",940.0,124,-12.0,125,80.0,125,68.53417365234881,593,208866.80400013924,2630,56.0,56,125.0,125,10858.586999999996,677,73220.25199999976,1884,7466.785999999999,64,28.187,2,0.0,0,53915.6969999999,3056,3312.423000000001,164,97186.61200000007,1224,4636.017999999999,102,0.0,0,80.49800000000003,27,0.0,0
"('AS14.29', datetime.date(2014, 4, 29))",978.0,129,-10.0,130,84.0,130,73.53873497314956,617,220781.58899784088,2807,56.0,56,126.0,126,12771.142999999998,764,76338.32499999976,1995,9587.749,96,96.51899999999999,3,0.0,0,55526.59399999992,3241,3360.748000000001,169,100285.65300000008,1286,4671.607999999999,103,0.0,0,80.49800000000003,27,0.0,0
"('AS14.29', datetime.date(2014, 4, 30))",1017.0,134,-12.0,135,85.0,135,75.72789339283527,641,229967.32199788094,2890,57.0,57,128.0,128,13869.313000000004,796,79709.59699999979,2058,9769.22,100,96.51899999999999,3,0.0,0,56216.88899999993,3340,3422.053000000001,174,104424.6400000001,1311,4722.168,106,0.0,0,80.49800000000003,27,0.0,0
"('AS14.29', datetime.date(2014, 5, 1))",1055.0,139,-12.0,140,87.0,140,78.89191644203397,665,236077.4339966774,2999,57.0,57,128.0,128,14205.08400000001,838,83905.24699999984,2172,9769.22,100,96.51899999999999,3,0.0,0,58420.02699999993,3444,3457.203000000001,179,105513.30100000006,1343,4722.168,106,0.0,0,80.49800000000003,27,0.0,0
"('AS14.29', datetime.date(2014, 5, 3))",1063.0,140,-11.0,141,88.0,141,93.59304596067977,713,241224.8069972992,3150,57.0,57,137.0,137,16856.395,968,84839.9759999998,2224,9803.537,102,96.51899999999999,3,0.0,0,65118.61099999992,3580,3471.255000000001,180,105935.89000000009,1362,4880.165999999999,109,0.0,0,82.79700000000004,29,0.0,0
"('AS14.29', datetime.date(2014, 5, 4))",1079.0,142,-13.0,143,90.0,143,101.79865893194115,735,244372.6209974289,3233,58.0,58,144.0,144,17222.89400000001,993,86099.76099999977,2260,9803.537,102,96.51899999999999,3,0.0,0,71034.71499999987,3679,3498.417000000001,183,106838.10100000008,1370,4880.165999999999,109,0.0,0,82.79700000000004,29,0.0,0
"('AS14.29', datetime.date(2014, 5, 5))",1101.0,145,-14.0,146,92.0,146,106.93324704304308,759,249911.25999760628,3348,67.0,67,161.0,161,18133.196000000033,1080,87775.31999999972,2313,9803.537,102,96.51899999999999,3,0.0,0,71703.36299999985,3787,3540.516000000001,186,108902.36000000007,1384,5212.842999999999,120,0.0,0,82.79700000000004,29,0.0,0
"('AS14.29', datetime.date(2014, 5, 7))",1140.0,150,-15.0,151,96.0,151,109.82925302457875,806,266757.3579978943,3465,67.0,67,161.0,161,18300.69100000002,1103,90211.54199999972,2393,9803.537,102,96.51899999999999,3,0.0,0,73730.16999999977,3920,4537.55,195,113619.64399999996,1470,5212.842999999999,120,0.0,0,82.79700000000004,29,0.0,0
"('AS14.29', datetime.date(2014, 5, 8))",1179.0,155,-13.0,156,101.0,156,112.65389227677107,830,276041.0390012264,3586,68.0,68,163.0,163,18478.418000000027,1145,94777.8029999998,2497,9816.662,103,96.51899999999999,3,0.0,0,75682.80799999971,4046,4571.514999999999,200,116765.59899999987,1547,5212.842999999999,120,0.0,0,82.79700000000004,29,0.0,0
"('AS14.29', datetime.date(2014, 5, 9))",1216.0,160,-15.0,161,104.0,161,114.05237010180396,854,288436.8680026531,3661,69.0,69,163.0,163,18903.05100000003,1168,100005.2629999998,2562,11098.374,109,161.852,6,0.0,0,76006.1329999997,4118,5563.571999999998,210,120844.63099999985,1585,5212.842999999999,120,0.0,0,82.79700000000004,29,0.0,0
"('AS14.29', datetime.date(2014, 5, 10))",1251.0,165,-16.0,166,106.0,166,116.98851609844257,878,304458.9070019722,3810,70.0,70,164.0,164,19252.27200000004,1219,107027.27999999987,2681,11126.530999999999,110,161.852,6,0.0,0,77346.65699999958,4262,5773.0369999999975,224,128006.72099999983,1668,5212.842999999999,120,0.0,0,85.89100000000005,31,0.0,0
"('AS14.29', datetime.date(2014, 5, 11))",1286.0,170,-20.0,171,108.0,171,117.35271895273465,902,313463.7390022278,3869,70.0,70,164.0,164,19416.639000000047,1243,109757.99099999988,2724,11126.530999999999,110,161.852,6,0.0,0,77868.68299999952,4356,5835.361999999997,230,133477.15599999978,1733,5266.486999999999,121,0.0,0,85.89100000000005,31,0.0,0
"('AS14.29', datetime.date(2014, 5, 12))",1324.0,175,-21.0,176,112.0,176,120.79161094038331,925,327111.77000260353,4039,70.0,70,170.0,170,20189.55500000007,1315,115992.91999999988,2883,11984.370999999994,126,161.852,6,0.0,0,78877.9539999994,4565,5879.620999999997,235,138838.6209999998,1823,5287.772999999999,123,0.0,0,85.89100000000005,31,0.0,0
"('AS14.29', datetime.date(2014, 5, 13))",1365.0,180,-18.0,181,116.0,181,123.55755152714434,949,340195.6940026283,4166,72.0,72,176.0,176,20566.26200000007,1375,122264.8719999999,3013,12037.617999999995,128,161.852,6,0.0,0,79721.76199999925,4726,6391.388999999997,241,145971.2169999999,1917,5287.772999999999,123,0.0,0,114.11100000000005,33,0.0,0
"('AS14.29', datetime.date(2014, 5, 14))",1403.0,185,-17.0,186,118.0,186,123.80755152714434,951,340203.13000273705,4168,72.0,72,176.0,176,20566.26200000007,1375,122469.7369999999,3015,12037.617999999995,128,161.852,6,0.0,0,79728.93299999925,4727,6391.388999999997,241,146106.08999999988,1921,5287.772999999999,123,0.0,0,114.11100000000005,33,0.0,0
"('AS14.29', datetime.date(2014, 5, 15))",1415.0,187,-18.0,188,118.0,188,123.80755152714434,951,340203.13000273705,4168,72.0,72,176.0,176,20566.26200000007,1375,122469.7369999999,3015,12037.617999999995,128,161.852,6,0.0,0,79728.93299999925,4727,6391.388999999997,241,146106.08999999988,1921,5287.772999999999,123,0.0,0,114.11100000000005,33,0.0,0
"('AS14.29', datetime.date(2014, 5, 2))",1055.0,139,-12.0,140,87.0,140,86.59589114119231,689,239392.70799684525,3102,57.0,57,135.0,135,15863.642000000009,927,84505.60599999983,2218,9769.22,100,96.51899999999999,3,0.0,0,59094.177999999934,3537,3457.203000000001,179,105815.5320000001,1353,4880.165999999999,109,0.0,0,82.79700000000004,29,0.0,0
"('AS14.29', datetime.date(2014, 5, 6))",1101.0,145,-14.0,146,92.0,146,109.00200818386307,782,263993.36899757385,3421,67.0,67,161.0,161,18292.646000000022,1100,89777.65799999973,2370,9803.537,102,96.51899999999999,3,0.0,0,73528.61599999982,3885,3542.523000000001,187,112495.38799999999,1444,5212.842999999999,120,0.0,0,82.79700000000004,29,0.0,0
"('AS14.29', datetime.date(2014, 2, 17))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 2, 19))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,4,9.0,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 2, 22))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,5,21.0,21,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 2, 23))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,6,22.0,22,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 2, 25))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,8,23.0,23,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 4))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,11.0,11,29.0,29,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 5))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.0,14,29.0,29,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 6))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,19.0,19,30.0,30,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 10))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,21.0,21,41.0,41,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 13))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,24.0,24,46.0,46,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 14))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,26.0,26,47.0,47,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 15))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,28.0,28,50.0,50,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 17))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,29.0,29,50.0,50,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 19))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,30.0,30,51.0,51,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 21))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.0,33,56.0,56,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 23))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.0,37,57.0,57,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 31))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,38.0,38,70.0,70,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 4, 1))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,40,73.0,73,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 2, 20))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,4,13.0,13,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 2, 24))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,6,23.0,23,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 2, 27))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,8,25.0,25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 2, 28))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,8,27.0,27,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 2))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,8,28.0,28,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 7))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,19.0,19,35.0,35,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 8))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,19.0,19,41.0,41,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 20))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,30.0,30,54.0,54,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 22))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.0,33,57.0,57,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 24))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.0,37,58.0,58,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.29', datetime.date(2014, 3, 25))",0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.0,37,66.0,66,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
"('AS14.30', datetime.date(2014, 3, 20))",21.0,3,1.0,3,3.0,3,0.164540816326531,2,6640.6430003643,74,57.0,57,12.0,12,664.866,106,2011.303,44,1930.0610000000001,10,38.551,11,0.0,0,228.138,1,355.448,13,778.0760000000001,12,0.0,0,29.372999999999998,2,31.155,5,0.0,0
"('AS14.30', datetime.date(2014, 3, 21))",60.0,8,-1.0,8,9.0,8,3.3484328380474997,17,16466.306999683373,172,60.0,60,14.0,14,1610.0120000000002,227,5120.110999999998,135,6212.147000000002,30,38.551,11,0.0,0,228.138,1,824.2209999999999,20,2463.5099999999998,22,0.0,0,91.173,6,118.36999999999999,14,0.0,0
"('AS14.30', datetime.date(2014, 3, 22))",98.0,13,-5.0,13,14.0,13,6.439502232165558,31,30990.908999443047,263,60.0,60,14.0,14,2905.8569999999986,324,13717.073999999999,216,8263.677,46,38.551,11,0.0,0,228.138,1,1917.239,40,4367.457,34,0.0,0,163.501,9,192.80400000000003,27,0.0,0
"('AS14.30', datetime.date(2014, 3, 23))",137.0,18,-8.0,18,19.0,18,8.137122791692391,45,47021.45599865912,321,60.0,60,14.0,14,3837.6139999999996,423,18650.791000000005,278,13938.743000000002,68,38.551,11,0.0,0,228.138,1,2712.616,46,7542.326,54,0.0,0,214.91000000000003,11,269.22,37,366.937,2
"('AS14.30', datetime.date(2014, 3, 24))",176.0,23,-9.0,23,24.0,23,10.154155074961349,59,62751.477998495095,414,60.0,60,14.0,14,5010.896000000001,561,24740.919000000005,364,16898.677,81,232.623,23,0.0,0,365.58799999999997,4,4095.521,57,11097.382,83,0.0,0,230.01900000000003,12,363.7150000000001,52,382.007,3
"('AS14.30', datetime.date(2014, 3, 25))",216.0,28,-10.0,28,29.0,28,12.300503614377117,75,78608.2589995861,543,62.0,62,14.0,14,6786.945999999997,700,33906.118000000024,500,19956.621000000003,98,258.052,26,0.0,0,365.58799999999997,4,4640.156,64,13210.388,107,0.0,0,259.216,13,421.99800000000005,65,382.007,3
"('AS14.30', datetime.date(2014, 3, 26))",250.0,33,-9.0,33,32.0,33,15.314322552067834,90,98930.48399996758,683,77.0,77,14.0,14,8222.952000000005,868,41641.551,636,22725.794000000013,115,258.052,26,0.0,0,624.99,6,5782.823,73,16390.579999999994,144,0.0,0,394.973,14,480.2390000000001,77,388.094,4
"('AS14.30', datetime.date(2014, 3, 27))",281.0,37,-12.0,37,36.0,37,17.7163219591715,105,116768.08100008965,811,79.0,79,14.0,14,9600.197000000018,1037,50260.61,760,26360.349000000017,137,271.109,28,0.0,0,661.232,7,6039.253999999999,88,20274.404,181,0.0,0,569.4209999999999,17,661.0329999999999,102,388.094,4
"('AS14.30', datetime.date(2014, 3, 28))",320.0,42,-12.0,42,41.0,42,21.939243849782848,122,134440.17000102997,940,81.0,81,14.0,14,11020.80400000002,1181,57938.015999999996,901,28486.122000000018,153,284.19699999999995,30,0.0,0,729.755,8,6436.677999999999,100,22329.822999999993,206,26.598999999999997,2,855.4189999999999,19,728.4839999999999,111,388.094,4
"('AS14.30', datetime.date(2014, 3, 29))",362.0,47,-19.0,47,46.0,47,23.794585085434584,136,151915.04200172424,1007,83.0,83,14.0,14,11766.430000000028,1269,67310.62399999998,991,33437.868000000024,171,284.19699999999995,30,0.0,0,954.902,9,6541.884999999999,106,24054.570999999993,223,26.598999999999997,2,855.4189999999999,19,791.309,125,388.094,4
"('AS14.30', datetime.date(2014, 3, 30))",400.0,52,-25.0,52,51.0,52,25.596986543177042,152,163615.18000292778,1093,89.0,89,14.0,14,12707.185000000043,1388,72037.389,1053,36812.48700000001,196,284.19699999999995,30,0.0,0,999.148,10,6733.521999999999,118,26238.424999999985,242,284.974,7,953.8169999999998,23,837.688,130,389.101,5
"('AS14.30', datetime.date(2014, 3, 31))",438.0,57,-29.0,57,56.0,57,29.11477917149186,167,176586.99100327492,1212,89.0,89,14.0,14,13534.678000000044,1519,81475.45500000005,1183,38199.585999999996,214,284.19699999999995,30,0.0,0,999.148,10,6984.962,128,27247.13499999998,261,336.04200000000003,9,1139.568,35,879.4579999999999,139,389.101,5
"('AS14.30', datetime.date(2014, 4, 1))",477.0,62,-35.0,62,62.0,62,31.472030387767852,182,189468.60800266266,1341,95.0,95,16.0,16,18358.57000000003,1646,86049.54200000009,1288,43417.592000000004,229,341.46099999999996,33,0.0,0,999.148,10,7357.157999999999,142,28421.51499999998,275,364.31700000000006,12,1308.811,36,908.9839999999999,144,389.101,5
"('AS14.30', datetime.date(2014, 4, 2))",515.0,67,-38.0,67,65.0,67,33.60070756223745,195,198542.3830010891,1443,95.0,95,16.0,16,19016.05300000004,1748,89976.45100000012,1363,46114.595000000016,243,354.50899999999996,35,0.0,0,999.148,10,8267.589999999998,155,29129.905999999984,285,364.31700000000006,12,1319.9049999999997,38,922.5649999999999,148,389.101,5
"('AS14.30', datetime.date(2014, 4, 3))",555.0,72,-37.0,72,70.0,72,35.60347378659462,211,213001.91600203514,1562,96.0,96,16.0,16,20529.60800000004,1900,93682.7570000001,1437,51629.83000000002,268,354.50899999999996,35,0.0,0,1104.1760000000002,13,8904.318999999996,175,32074.46799999998,307,366.32700000000006,13,1620.1259999999997,40,977.873,155,389.101,5
"('AS14.30', datetime.date(2014, 4, 4))",594.0,77,-43.0,77,75.0,77,37.88411880399566,227,228640.33900213242,1703,99.0,99,16.0,16,22156.051000000047,2082,98664.02200000007,1557,56499.65300000002,296,726.366,41,0.0,0,1104.1760000000002,13,9303.045999999998,185,33530.029999999984,332,440.17300000000006,14,1691.5389999999998,42,1099.9090000000003,172,389.101,5
