date_time,participant_id,batch,mood,mood_count,circumplex.arousal,circumplex.arousal_count,circumplex.valence,circumplex.valence_count,activity,activity_count,screen,screen_count,call,call_count,sms,sms_count,appCat.builtin,appCat.builtin_count,appCat.communication,appCat.communication_count,appCat.entertainment,appCat.entertainment_count,appCat.finance,appCat.finance_count,appCat.game,appCat.game_count,appCat.office,appCat.office_count,appCat.other,appCat.other_count,appCat.social,appCat.social_count,appCat.travel,appCat.travel_count,appCat.unknown,appCat.unknown_count,appCat.utilities,appCat.utilities_count,appCat.weather,appCat.weather_count,sum_of_counts
2014-03-21,AS14.03,0,9.0,2,1.0,2,2.0,2,0.0,0,1664.9540009498596,50,5.0,5,2.0,2,168.05500000000004,11,1724.7390000000005,38,946.017,30,0.0,0,0.0,0,10.046,1,543.588,15,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,158
2014-03-22,AS14.03,0,7.8,5,0.8,5,1.0,5,0.1913883086450861,13,2643.5370004177103,72,8.0,8,1.0,1,482.08799999999985,38,458.49500000000006,35,3915.524,73,0.0,0,0.0,0,0.0,0,89.216,6,0.0,0,168.54500000000002,7,0.0,0,4.35,1,0.0,0,269
2014-03-23,AS14.03,0,8.2,5,-0.2,5,1.2,5,0.1002466983942116,24,5048.337000608444,117,1.0,1,1.0,1,492.576,38,1503.1219999999996,48,1741.3910000000003,83,36.364,1,0.0,0,161.998,4,251.529,16,0.0,0,275.405,8,0.0,0,0.0,0,44.854,1,357
2014-03-24,AS14.03,0,7.8,5,-0.6,5,1.4,5,0.090740222421567,24,6248.045999526978,125,3.0,3,0.0,0,92.246,7,2282.3359999999984,63,3908.043,118,105.217,7,0.0,0,125.32500000000002,5,851.0169999999999,21,0.0,0,0.0,0,11.064,1,5.136,1,0.0,0,390
2014-03-25,AS14.03,0,7.8,5,-0.4,5,1.2,5,0.1327682855234919,24,3791.112000226975,134,6.0,6,1.0,1,1044.495,22,1305.0980000000002,79,1351.4160000000004,100,447.543,3,0.0,0,141.076,11,133.63,5,0.0,0,0.0,0,47.324,1,28.843,3,0.0,0,404
2014-03-26,AS14.03,0,8.25,4,0.5,4,1.0,4,0.091153201140304,24,3985.9769988059993,126,1.0,1,0.0,0,118.639,21,1294.7889999999993,88,2355.873,93,87.141,3,0.0,0,20.684,4,72.68,7,0.0,0,12.84,2,7.649,2,0.0,0,0.0,0,383
2014-03-27,AS14.03,0,7.75,4,0.25,4,0.5,4,0.1031957536987308,24,3275.632001638411,89,3.0,3,1.0,1,588.3359999999999,28,931.6620000000004,62,1653.7570000000003,85,0.0,0,0.0,0,13.437,2,60.032,6,0.0,0,0.0,0,0.0,0,17.490000000000002,2,0.0,0,314
2014-03-28,AS14.03,0,8.0,4,-0.5,4,1.5,4,0.1046792879790665,24,3250.441998243332,113,3.0,3,0.0,0,277.52599999999995,11,940.8789999999998,71,3351.790999999999,89,0.0,0,0.0,0,46.206,3,246.37600000000003,14,0.0,0,0.0,0,63.787000000000006,2,7.045,1,0.0,0,343
2014-03-29,AS14.03,0,8.6,5,-0.2,5,1.6,5,0.1633773377586506,24,2261.391000509263,52,0.0,0,1.0,1,19.31,2,152.928,20,2529.2280000000005,62,49.371,1,0.0,0,0.0,0,104.425,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,187
2014-03-30,AS14.03,0,8.4,5,-0.2,5,1.0,5,0.1646507152666788,23,3568.718999385834,102,1.0,1,0.0,0,12.869,4,1223.6230000000005,78,2039.8139999999996,70,0.0,0,0.0,0,26.284,1,186.05399999999997,12,0.0,0,0.0,0,35.267,1,0.0,0,31.955,2,309
2014-03-31,AS14.03,0,7.4,5,0.4,5,0.6,5,0.0836335845955086,24,5980.297821165215,123,3.0,3,1.0,1,2044.996,52,4412.684999999997,82,1699.4680000000003,85,77.49100000000001,3,0.0,0,0.0,0,98.78600000000002,14,0.0,0,0.0,0,0.0,0,5.16,1,0.0,0,403
2014-04-01,AS14.03,0,7.6,5,0.4,5,0.4,5,0.097414340146311,24,3205.793999433517,88,2.0,2,0.0,0,543.663,11,711.7979999999999,59,1626.554,51,58.641,1,0.0,0,62.49,4,203.234,16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,271
2014-04-02,AS14.03,0,7.4,5,0.2,5,0.6,5,0.0786881382869165,24,3364.240000724794,104,2.0,2,0.0,0,854.1979999999999,26,820.5580000000001,63,1981.5039999999997,59,65.43900000000001,3,0.0,0,18.699,4,98.842,10,0.0,0,54.145,2,0.0,0,0.0,0,0.0,0,312
2014-04-03,AS14.03,0,7.8,5,0.0,5,1.0,5,0.0836364543999837,24,2312.74599981308,81,1.0,1,0.0,0,145.99292821013603,14,685.1839999999999,61,2093.1600000000008,55,72.10300000000001,8,0.0,0,0.0,0,91.237,9,0.0,0,0.0,0,20.192,1,29.197000000000003,2,0.0,0,271
2014-04-04,AS14.03,0,7.8,5,0.2,5,1.4,5,0.0871065604162596,24,3231.443998813628,77,0.0,0,3.0,3,617.093,30,804.0909999999999,30,1371.5649999999998,55,47.284,1,0.0,0,6.163,1,902.67,16,0.0,0,0.0,0,315.509,1,0.0,0,0.0,0,253
